Company Name,Company_url,salary,description_list
Allied Globetech,https://in.indeed.com/cmp/Allied-Globetech?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmkdujjttq800&fromjk=dd6b1428e27b4fde,NA,"
 Strong technical proficiency,capable of problem solving and applying critical thinking.
"
Curbwaste,https://in.indeed.com/cmp/Curbwaste-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmkmojjtuq801&fromjk=afaffce778c07c4f,"₹50,000 - ₹1,20,000 a month",
Ascendeum Pvt Ltd,https://in.indeed.com/cmp/Ascendeum-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmkvk7kcq6800&fromjk=472fde1343c3e56b,"₹8,00,001 - ₹15,00,001 a year",
nCircle Tech Pvt. Ltd.,https://in.indeed.com/cmp/Ncircle-Tech-Pvt.-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gihml7nok994800&fromjk=921078cdc81ffda0,"₹4,00,000 - ₹12,00,000 a year",
LBS,https://in.indeed.com/cmp/Lbs-429e500c?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmlge5jtsh800&fromjk=6dc2090ba178d088,"₹50,000 - ₹80,000 a month",
Mercedes-Benz Research and Development India Private Limited,https://in.indeed.com/cmp/Mercedes--benz-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmloboi98p800&fromjk=df1ac393a660fcb9,NA,
new ambition,https://in.indeed.com/cmp/New-Ambition-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmlvcdjv5s800&fromjk=9d258519eb4f22b6,"₹10,034 - ₹12,000 a month",
Blackboard Edutech India Pvt Ltd.,https://in.indeed.com/cmp/Skylane-Dronetech-Pvt-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmm6o2icbu801&fromjk=fb776dfbfc2e6351,"₹4,00,000 - ₹12,00,000 a year",
SURYA INFORMATICS SOLUTIONS PRIVATE LIMITED,https://in.indeed.com/cmp/Surya-Informatics-Solutions-Private-Limited-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmme80ojfq800&fromjk=e8f3f4147fc42f35,"₹5,000 - ₹7,500 a month",
Brimming Grace Capital Pvt Ltd,https://in.indeed.com/cmp/Brimming-Grace-Capital-Pvt-Ltd-1?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmmm0uicbp800&fromjk=38ada7c672747abb,"₹17,330 - ₹70,269 a month",
RedBlox Technologies,https://in.indeed.com/cmp/Redblox-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmmt8pienm800&fromjk=cce4e890a131c830,NA,
Ashra Technologies Private Limited,https://in.indeed.com/cmp/Ashra-Technologies-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmn46njril800&fromjk=295b80f8f052eef8,NA,
Deltacubes Technologies,https://in.indeed.com/cmp/Deltacubes-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmnc3bjrgj800&fromjk=a94d18a83e33f6cc,NA,
NeoSOFT,https://in.indeed.com/cmp/Neosoft-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmnjjnjtsh800&fromjk=f96277ca95abb4a7,"₹6,00,000 - ₹18,00,000 a year",
Warlock Technologies,https://in.indeed.com/cmp/Warlock-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmnrbq2hj8000&fromjk=1bb97468417058d2,NA,
ART OF LIVING HUMAN RESOURCES,https://in.indeed.com/cmp/Art-of-Living-Human-Resources?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmo1rp2943000&fromjk=d8efe895df1d9559,"₹8,00,000 - ₹18,00,000 a year",
SAS ONE Pvt. Ltd.,https://in.indeed.com/cmp/One-Corp-2?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmo9pljl3i800&fromjk=bdf7262bae5ded26,"₹16,000 - ₹25,000 a month",
Institutional Shareholder Services,https://in.indeed.com/cmp/Institutional-Shareholder-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmohpmjtsi800&fromjk=988bf27c102e130e,NA,
AltissAdvance Tech Private Limited,https://in.indeed.com/cmp/Altissadvance-Tech-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmop1e2bjs000&fromjk=f0b68759d4b82fa2,"From ₹10,000 a month",
Rigel Networks,https://in.indeed.com/cmp/Rigel-Networks?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmp0jn2fe2000&fromjk=0651d61e6cefbe3e,"Up to ₹75,000 a month",
Accenture,https://in.indeed.com/cmp/Accenture?campaignid=mobvjcmp&from=mobviewjob&tk=1gihmp8j7i93g800&fromjk=c0aeebca12bb4618,NA,
